0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Tag Element,AMN,CAR,CNA,CPDR,CPNU,DEK,DEU,DOCE,EMUF,ERRT,FANC,FAUF,FDSP,FIDR,FNDR,FVR
2.036 PHT,0..1,0..1,0..1,0..1,0..1,0..1,0..1,,,,,,,,,
2.037 RFP,,,,,,,,1,1,,1,1,,1,1,
2.038 DPR,1,,,,,1,1,1,1,,1,1,1,1,1,1
2.039 EAD,,0..1,0..1,0..1,0..1,0..1,,0..1,0..1,,0..1,0..1,,,0..1,
2.040 OCP,,0..1,0..1,0..1,0..1,,,0..1,0..1,,0..1,0..1,,,0..1,
2.041 RES,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,,0..1,0..1,,,0..1,
2.042 MIL,,,,,,,,,0..1,,0..1,0..1,,,0..1,0..1
2.043 TSR,,,,1,0..1,,,0..1,0..1,,,,,,1,0..1
2.044 GEO,,,,,,,,,,,,,,,,
2.045 DOA,,1,1,1,1,,,,,,,,1,,,
2.046 DOS,,,,,0..1,,,,,,,,,0..1,,
2.047 ASL,,1..999 2,1..999 2,1..999 2,1..999 2,,,,,,,,,,,
2.051 CSL,,0..999,0..999,0..999,0..999,,,,,,,,1..999 12,,,
2.053 OFC,,,,,,,,,,,,,,,,
2.054 SSD,,,,,,,,,,,,,,,,
2.055 SLE,,,,,,,,,,,,,,,,
2.056 ICO,0..1,0..1,0..1,0..1,0..1,0..1,0..1,,,,,,,,,0..1
2.059 SRF,,,,,,,,,,,,,,,,
2.060 MSG,,,,,,,,,,1..11,,,,,,
2.061 CST,,,,,,,,,,,,,,,,
2.067 IMA,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,,0..1,0..1,0..1,0..1,0..1,0..1
2.070 RAP,0..1,0..1,,0..1,0..1,0..1,0..1,0..1,0..1,,0..1,0..1,0..1,0..1,0..1,0..1
2.071 ACN,0..1,,,,,,,,,,,,,,,
2.073 CRI,1..3,1..3,1..3,1..3,1..3,1..3,1..3,1..3,1..3,0..3,1..3,1..3,0..3,1..3,1..3,1..3
2.074 FGP,,,,,,,,,,,,,,,,
2.075 ERS,,,,,,,,,,,,,,,,
2.083 ULF,,,,,,,,,,,,,,,,
2.084 AMP,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7
2.087 TAA,,0..1,0..1,0..1,0..1,,,,,,,,,,,
2.088 NOT,,,,,,,,,,,,,,,,
2.096 RPR,0..1,0..1,,0..1,0..1,0..1,0..1,,,,0..1,0..1,0..1,0..1,0..1,
