0,1,2,3,4,5,6,7,8,9
Field,,,,Field Size,,,,Example,Comments/Special Characters
,,,,"(not including Character 
Separators)",,,Occurrences,,
"Field Name
Number
Identifier",,,Character,"Min
Max",,"Min1
Max",,,
"2.083
ULF
UNSOLVED BIOMETRIC FILE
A",,,,"1
1",,1,,2.083:Y{FS},
"2.084
AMP
AMPUTATED OR BANDAGED
SET
A
FGP
FINGER POSITION
N
B
AMPCD
AMPUTATED OR BANDAGED CODE 
A",,,,"2
2
2
2",,"13
1
1
1
1",,2.084:03{US}XX{RS}09{US}UP{GS},
"2.086
SCNA
SUBJECT CONTROL NUMBER
AN",,,,"1
10",,1,,2.086:3124{GS},
"2.087
TAA
TREAT AS ADULT
A",,,,"1
1",,1,,2.087:Y{GS},
"2.088
NOT
NOTE FIELD
ANS",,,,"1
1,000",,1,,2.088:NOTE{GS},Any printable 7-bit ASCII character is allowed.
"2.089
MSC
MATCHSCORE
N",,,,"1
6",,99,,2.089:1200{GS},
"RIDGE CORE DELTA ONE FOR SUBPAT-
2.091
RCD1
SET
TERN CLASSIFICATION
A
FGP
FINGER POSITION 
N
B
RCN1
RIDGE COUNT NUMBER 1 
N",,,,"2
2
1
2",,"10
1
1
1
3",,"2.091:01{US}13{RS}02{US}6{RS}03{US}11
{RS}04{US}10{RS}05{US}11{RS}06{US}11
{RS}07{US}12{RS}08{US}10{RS}09{US}13
{RS}10{US}11{GS}",
"RIDGE CORE DELTA TWO FOR SUBPAT-
2.092
RCD2
SET
TERN CLASSIFICATION
A
FGP
FINGER POSITION 
N
B
RCN2
RIDGE COUNT NUMBER 2 
N",,,,"2
2
1
2",,"10
1
1
1
3",,"2.092:01{US}10{RS}02{US}0{RS}03{US}0{
RS}04{US}0{RS}05{US}0{RS}06{US}0{RS
}07{US}0{RS}08{US}0{RS}09{US}0{RS}10
{US}0{GS}",
"2.095
A
RFR
REQUEST FEATURES RECORD",,,,"1
1",,1,,2.095:Y{GS},
"2.096
RPR
REQUEST PHOTO RECORD
A",,,,"1
1",,1,,2.096:Y{GS},
"2.098
NDR
NAME OF DESIGNATED REPOSITORY 
N",,,,"1
3",,10,,2.098:1{GS},
"2.2007
SDOB
SUBMITTED DATE OF BIRTH
N",,,,"8
8",,1,,2.2007:10470123{GS},
"2.2008
SNAM
SUBMITTED NAME
AS",,,,"3
50",,1,,"2.2008:JONES, ANTHONY P{GS}","Commas, hyphens, and spaces are all allowed as special 
characters."
"2.2010
NIR
NUMBER OF IMAGES REQUESTED 
N",,,,"1
2",,1,,2.2010:2{GS},
"2.2015
RBXD
RAP BACK EXPIRATION DATE
N",,,,"8
8",,1,,2.2015:20100101{GS},
"2.2018
DNAC
DNA IN CODIS FLAG
A",,,,"1
1",,1,,2.2018:N{GS},
"2.2020
RBR
RAP BACK RECIPIENT
ANS",,,,"9
19",,9,,2.2020:NY0303000{GS},
"2.2021
IFS
IDENTIFICATION FIREARMS SALES
A",,,,"1
1",,1,,2.2021:D{GS},
"CONTRIBUTOR ASSIGNED IDENTIFICA-
2.2022
CIDN
AN
TION NUMBER",,,,"10
10",,1,,2.2022:CINR12345{GS},
