0,1,2,3,4,5,6,7,8,9,10,11
Tag Element,IIDS,LFS,LSR,MAP,MPR,NFUE,NFUF,NNDR,RPIS,RPISR,SRE
2.001 LEN,1,1,1,1,1,1,1,1,1,1,1
2.002 IDC,1,1,1,1,1,1,1,1,1,1,1
2.003 FFN,,0..1,0..1,,,,,,,,
2.005 RET,,,,1,1,1,1,1,,,
2.006 ATN,0..1,1,0..1,0..1,0..1,0..1,0..1,0..1,1,1,0..1
2.007 SCO,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9,,,0..9
2.009 OCA,0..1,,,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1
2.012 LCN,,,0..1,,,,,,,,
2.013 LCX,,,0..1,,,,,,,,
2.014 FBI,0..1,,0..1 10,0..5,,0..5,0..5,0..5,,0..2,0..18
2.015 SID,0..1,,0..5 10,0..1,,0..1,0..1,,,,0..1
2.016 SOC,,,0..4 11,0..4,0..4,0..4,0..4,0..4,,,
2.017 MNU,0..4,0..4,0..4 11,0..4,0..4,0..4,0..4,0..4 3,,,
2.018 NAM,0..1,,0..1 10,1,1,1,1,1,0..1,0..1,1
2.019 AKA,,,0..10,0..10,0..10,0..10,0..10,0..10,,,
2.020 POB,,0..1,0..1 10,1,0..1,1,1,1,,0..1,
2.021 CTZ,,,0..10 11,0..10,0..10,0..10,0..10,0..10,,,
2.022 DOB,,,0..5 11,1..5,1..5,1..5,1..5,1..5,0..1,,
2.023 AGR,,0..1,,,,,,,,,
2.024 SEX,,0..1,0..1 11,1,1,1,1,1,0..1,,
2.025 RAC,,0..1,0..1 11,1,1,1,1,1,,,
2.026 SMT,,0..10,0..10 11,0..10,0..10,0..10,0..10,0..10,,,
2.027 HGT,,,0..1 11,1,1,1,1,1,,,
2.028 HTR,,0..1,,,,,,,,,
2.029 WGT,,,0..1 11,1,1,1,1,1,,,
2.030 WTR,,0..1,,,,,,,,,
2.031 EYE,,0..1,0..1 11,1,1,1,1,1,,,
2.032 HAI,,0..1,0..1 11,1,1,1,1,1,,,
2.033 FPC,,,0..1,,,,,,,,
2.034 PAT,,0..10,0..10 11,,,,,,,,
