0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Tag Element,AMN,CAR,CNA,CPDR,CPNU,DEK,DEU,DOCE,EMUF,ERRT,FANC,FAUF,FDSP,FIDR,FNDR,FVR
2.098 NDR,0..10,0..10,,0..10,0..10,0..10,0..10,,,,0..10,0..10,,0..10,0..10,
2.2007 SDOB,,,,,,,,,,1,,,,,,
2.2008 SNAM,,,,,,,,,,1,,,,,,
2.2015 RBXD,,0..1,,0..1,0..1,,,,,,0..1,0..1,,,0..1,
2.2018 DNAC,,,,,,,,,,,,,,,,
2.2020 RBR,,0..9,,0..9,0..9,,,,,,0..9,0..9,,,0..9,
2.2021 IFS,,,,,,,,,,,,,1,,,
2.2023 SII,,,,,,,,,,,,,,,,
2.2030 PPD,,,,,,,,,,,,,,,,
2.2031 BIA,,,,,,,,,,,,,,,,
2.2035 EVI,,,,,,,,,,,,,,,,
2.2037 ESI,0..1,0..1,,0..1,0..1,0..1,0..1,,,,0..1,0..1,,,0..1,
2.2040 RBT,,0..40,,0..40,0..40,,,,,,0..40,0..40,,,0..40,
2.2046 TLI,,,,,,,,,,,,,,1,,
2.2048 RBSI,,,,,,,,,,,,,,,,
2.2049 RBTD,,,,,,,,,,,,,,,,
2.2051 HNOTI,,,,,,,,,,,,,,0..1,,
2.2054 RBSD,,,,,,,,,,,,,,,,
2.2061 BIE,,,,,,,,,,,,,,,,
2.2062 RBNF,,0..1,,0..1,0..1,,,,,,0..1,0..1,,,0..1,
2.2063 RBOO,,0..1,,0..1,0..1,,,,,,0..1,0..1,,,0..1,
2.2064 RBUD,,0..10,,0..10,0..10,,,,,,0..10,0..10,,,0..10,
2.2065 RBC,,0..1,,0..1,0..1,,,,,,0..1,0..1,,,0..1,
2.2067 RBDI,,0..1,,0..1,0..1,,,,,,,,,,,
2.2070 RBATN,,0..1,,0..1,0..1,,,,,,0..1,0..1,,,0..1,
2.2071 RBST,,,,,,,,,,,0..1,0..1,,,0..1,
2.2072 POC,,,,,,,,,,,,,,0..1,,
2.2105 FI,,,,,,,,,,,,,,0..999,,
