0,1,2,3,4,5,6,7,8,9,10,11
Tag Element,IIDS,LFS,LSR,MAP,MPR,NFUE,NFUF,NNDR,RPIS,RPISR,SRE
2.088 NOT,,0..1,,,,,,,,1,0..1
2.096 RPR,0..1,,,0..1,0..1,0..1,0..1,0..1,0..1,,
2.098 NDR,,,,0..10,0..10,0..10,0..10,0..10,1..10,,
2.2007 SDOB,,,,,,,,,,,0..1
2.2008 SNAM,,,,,,,,,,,0..1
2.2015 RBXD,,,,0..1,,0..1,0..1,0..1,,,0..1
2.2018 DNAC,,,,,,,,,,,0..1
2.2020 RBR,,,,0..9,,0..9,0..9,0..9,,,0..9
2.2021 IFS,,,,,,,,,,,
2.2023 SII,,,,,,,,,,0..1,0..1
2.2030 PPD,,0..10,,,,,,,,,
2.2031 BIA,,,0..1,,,,,,,,0..1
2.2035 EVI,,,,,,,,,,,0..1
2.2037 ESI,,,,0..1,0..1,0..1,0..1,0..1,,,0..1
2.2040 RBT,,,,0..40,,0..40,0..40,0..40,,,0..40
2.2046 TLI,,,,,,,,,,,
2.2048 RBSI,,,,,,,,,,,0..1
2.2049 RBTD,,,,,,,,,,,0..1
2.2051 HNOTI,,,,,,,,,,,
2.2054 RBSD,,,,,,,,,,,0..1
2.2061 BIE,,,,,,,,,,,0..36
2.2062 RBNF,,,,0..1,,0..1,0..1,0..1,,,0..1
2.2063 RBOO,,,,0..1,,0..1,0..1,0..1,,,0..1
2.2064 RBUD,,,,0..10,,0..10,0..10,0..10,,,0..10
2.2065 RBC,,,,0..1,,0..1,0..1,0..1,,,0..1
2.2067 RBDI,,,,,,,,,,,0..1
2.2070 RBATN,,,,0..1,,0..1,0..1,0..1,,,0..1
2.2071 RBST,,,,0..1,,0..1,0..1,0..1,,,0..1
2.2072 POC,,,,,,,,,,,
2.2105 FI,,,,,,,,,,,
