0,1,2,3,4,5,6,7,8,9
"Field
Number",Identifier,Field Name,Character,Field Size,,,,Example,Comments/Special Characters
,,,,"(not including Character 
Separators)",,,Occurrences,,
,,,,Min,Max,Min1,Max,,
2.2023,SII,"SUPPLEMENTARY IDENTITY INFORMA-
TION",ANS,4,"10,000",,1,2.2023:(ASCII TEXT DATA){GS},Any printable 7-bit ASCII character is allowed.
2.2024,HTI,HIT TYPE INDICATOR,A,1,10,,1,2.2024:RISC{GS},
"2.2028
A
B
C
D
E
F
G","BID
SI
IMT
BSI
FNR
PPD
POS
SMT","BIOMETRIC IMAGE DESCRIPTION 
SUBJECT IDENTIFIER
IMAGE TYPE 
BIOMETRIC SET IDENTIFIER 
FINGER NUMBER REQUESTED 
PRINT POSITION DESCRIPTOR
SUBJECT POSE
NCIC SMT CODE","SET
ANS
N
N
N
AN
A
AS","1
1
4
2
5
1
3","50
2
24
2
5
1
10","1
0
0
0
0
0
0","1000
1
1
1
1
1
1
1","2.2028:12AN43215689{US}1{US}123456{US
}09{US}{US}{US}{GS}","NCIC SMT codes only allow a space as a special 
character."
2.2029,BSI,BIOMETRIC SET IDENTIFIER,N,4,24,,1000,2.2029:9283463{GS},
"2.2030
A
B","PPD
FGP
FIC","PRINT POSITION DESCRIPTOR
FRICTION RIDGE GENERALIZED POSI-
TION 
FINGER IMAGE CODE","SET
N
AN","1
3","2
3","1
1","10
1
1",2.2030:02{US}FV1{GS},
2.2031,BIA,BIOMETRIC IMAGE AVAILABLE,N,1,2,,1,2.2031:13{GS},
"2.2032
A
B
C
D
E
F
G
H
I","ATR
ORI
DAT
TOT
BSI
IMT
FNR
PPD
POS
SMT","AUDIT TRAIL RECORD 
ORIGINATING AGENCY IDENTIFIER 
DATE OF DISSEMINATION 
TOT OF DISSEMINATION 
BIOMETRIC SET IDENTIFIER DISSEMI-
NATED 
IMAGE TYPE DISSEMINATED
FRICTION RIDGE POSITION REQUESTED
PRINT POSITION DESCRIPTION
SUBJECT POSE
NCIC SMT CODE","SET
AN
N
A
N
N
N
AN
A
AS","9
8
3
4
1
2
5
1
3","9
8
16
24
2
2
5
1
10","1
1
1
0
0
0
0
0
0","100
1
1
1
1
1
1
1
1
1","2.2032:NY0303000{US}20130514{US}
SRL{US}1023456{US}1{US}06{US}{US}
{US}{RS}NY0303000{US}20130518{US}
SRB{US}3065432{US}9{US}{US}{US}
F{US}{GS}","NCIC SMT codes only allow a space as a special 
character."
